timestamp,open,high,low,close,volume
2024-03-06,63747.5,67729.5,62829.3,66128.1,534011.813
2024-03-07,66128.0,68101.3,65609.3,66870.0,296092.788
2024-03-08,66870.0,70330.8,66120.0,68180.2,459387.207
2024-03-09,68180.2,68608.7,67908.7,68360.1,94899.005
2024-03-10,68360.2,69999.8,68155.0,69001.8,233596.523
2024-03-11,69001.8,72890.0,67000.0,72153.8,474396.897
2024-03-12,72153.9,73370.0,68600.0,71503.2,472072.331
2024-03-13,71503.3,73755.0,71388.1,73127.6,288446.338
2024-03-14,73127.6,73881.4,68600.0,71455.5,513901.237
2024-03-15,71455.6,72500.0,65580.0,69552.2,705810.685
2024-03-16,69552.1,70097.6,64750.0,65351.0,333426.129
2024-03-17,65351.0,68972.4,64559.8,68447.9,314890.309
2024-03-18,68447.9,69044.4,66601.6,67660.0,317885.916
2024-03-19,67660.0,68178.6,61582.8,61974.1,700466.795
2024-03-20,61974.1,68140.0,60800.0,67876.4,637362.465
2024-03-21,67876.4,68293.9,64550.1,65539.9,347218.385
2024-03-22,65539.9,66691.9,62294.0,63826.0,401149.333
2024-03-23,63826.1,66050.0,63020.2,64020.3,239124.0
2024-03-24,64020.4,67700.0,63822.0,67260.9,244179.435
2024-03-25,67260.9,71228.3,66427.6,69920.5,395156.191
2024-03-26,69920.6,71649.0,69320.0,70044.1,307861.116
2024-03-27,70044.2,71888.0,68364.8,69532.6,407286.574
2024-03-28,69532.6,71636.2,68941.0,70838.7,241970.822
2024-03-29,70838.8,70976.9,69000.0,69903.6,187970.841
2024-03-30,69903.6,70388.0,69577.2,69642.1,91126.75
2024-03-31,69642.0,71495.5,69608.0,71363.0,132458.79
2024-04-01,71363.0,71388.0,68103.3,69700.0,282812.126
2024-04-02,69700.0,69731.6,64603.2,65505.3,499041.572
2024-04-03,65502.4,66940.0,64500.0,65971.9,275041.23
2024-04-04,65971.8,69329.7,65100.0,68489.9,326385.338
2024-04-05,68489.8,68787.1,65966.0,67825.7,313547.293
2024-04-06,67825.8,69708.0,67450.0,68901.6,127343.726
2024-04-07,68901.5,70395.0,68820.6,69362.7,171783.436
2024-04-08,69362.7,72890.4,69040.4,71678.4,297237.449
2024-04-09,71678.3,71820.6,68216.0,69189.3,334059.403
2024-04-10,69189.2,71412.2,67546.2,70681.7,337774.756
2024-04-11,70681.8,71387.4,69592.6,70055.7,256194.153
2024-04-12,70055.6,71297.0,65102.0,67136.4,415528.149
2024-04-13,67136.4,67975.4,59652.5,63939.7,515005.203
2024-04-14,63939.7,65822.1,62139.3,65615.9,395770.133
2024-04-15,65615.9,66874.9,62242.5,63392.7,381532.225
2024-04-16,63392.8,64356.3,61521.0,63765.0,405931.439
2024-04-17,63764.9,64483.3,59625.0,61254.5,444032.992
2024-04-18,61254.5,64100.0,60763.8,63445.0,363302.394
2024-04-19,63445.0,65480.0,59541.0,63787.4,574264.058
2024-04-20,63787.4,65400.0,63045.1,64897.2,197142.262
2024-04-21,64897.2,65678.7,64214.2,64912.6,160533.948
2024-04-22,64912.7,67222.0,64470.5,66778.0,246268.411
2024-04-23,66777.9,67158.9,65750.0,66386.3,178665.564
2024-04-24,66386.2,67068.2,63575.0,64250.0,280545.061
2024-04-25,64250.0,65270.6,62721.3,64478.8,275211.062
2024-04-26,64478.8,64783.1,63291.5,63748.8,202149.813
2024-04-27,63748.7,63901.4,62332.8,63421.0,167349.109
2024-04-28,63420.9,64350.0,62700.0,63088.3,126056.151
2024-04-29,63088.4,64200.0,61726.2,63842.4,228411.163
2024-04-30,63842.4,64700.0,59150.0,60651.2,408747.703
2024-05-01,60651.2,60816.7,56537.7,58307.6,564108.4
2024-05-02,58307.7,59637.3,56951.6,59036.7,299229.302
2024-05-03,59036.7,63333.0,58781.3,62853.7,353606.459
2024-05-04,62853.7,64547.9,62520.0,63864.2,205205.199
2024-05-05,63864.3,64644.3,62833.0,63988.0,185495.653
2024-05-06,63987.9,65500.0,62655.3,63142.8,305110.067
2024-05-07,63142.7,64392.2,62203.6,62296.0,238974.646
2024-05-08,62296.0,62994.9,60843.6,61157.9,241651.579
2024-05-09,61157.9,63447.2,60550.0,63050.1,242451.302
2024-05-10,63050.0,63446.5,60117.4,60778.1,307214.96
2024-05-11,60778.0,61491.4,60432.6,60809.2,113294.787
2024-05-12,60809.2,61849.4,60557.3,61455.8,104043.897
2024-05-13,61455.7,63440.0,60750.0,62912.1,261927.073
